Shoreline	
144.0655	-40.05872113
144.0652	-40.05876192
144.0649	-40.05879139
144.0647892	-40.0589
144.0646	-40.05908398
144.0643	-40.059112
144.0641336	-40.0592
144.064	-40.05933398
144.0637	-40.05937139
144.0636127	-40.0595
144.0634	-40.05971297
144.0633134	-40.0598
144.0632791	-40.0601
144.0632927	-40.0604
144.0633046	-40.0607
144.0633908	-40.061
144.0634	-40.06102548
144.0634536	-40.0613
144.0634	-40.06156762
144.0633959	-40.0616
144.0634	-40.06160655
144.0636465	-40.0619
144.0636986	-40.0622
144.0637	-40.06220142
144.064	-40.06226394
144.0641488	-40.0625
144.0643	-40.06279273
144.0643119	-40.0628
144.0645222	-40.0631
144.0646	-40.063155
144.0649	-40.06319203
144.0652	-40.06331731
144.0653778	-40.0634
144.0654142	-40.0637
144.0655	-40.0638092
144.0656615	-40.064
144.0657008	-40.0643
144.0656364	-40.0646
144.0657639	-40.0649
144.0655	-40.06512627
144.0654269	-40.0652
144.0652927	-40.0655
144.0652	-40.06559183
144.0649854	-40.0658
144.0648866	-40.06604568
144.0647803	-40.06622943
144.0646605	-40.0664
144.0646	-40.0665468
144.0644514	-40.06675168
144.0643451	-40.06693543
144.0642	-40.06709017
144.0641091	-40.0673
144.0640162	-40.06739965
144.0639485	-40.06755439
144.0637261	-40.06782518
144.0638325	-40.06772847
144.0636004	-40.06796058
144.0635037	-40.06816368
144.0633586	-40.06854085
144.0631982	-40.0688
144.0631	-40.06892307
144.0629231	-40.0691
144.0628	-40.06927265
144.0626719	-40.06944028
144.0625752	-40.06962403
144.0623334	-40.07003989
144.0616951	-40.06910179
144.0619	-40.06888839
144.0620366	-40.0688
144.0622	-40.06862892
144.0623237	-40.0685
144.0623311	-40.0682
144.0625	-40.06806678
144.0626109	-40.0679
144.0628	-40.06766363
144.0628486	-40.0676
144.0630104	-40.06740932
144.0631071	-40.06722557
144.0632174	-40.067
144.0633779	-40.06667431
144.0634746	-40.06653891
144.063581	-40.06639384
144.0636777	-40.06631647
144.0638131	-40.06610371
144.0639485	-40.0658716
144.0640259	-40.0657362
144.0641613	-40.06543639
144.0641613	-40.06522363
144.0642387	-40.06484645
144.064316	-40.06444993
144.0641613	-40.0642565
144.0640588	-40.064
144.0639099	-40.0638213
144.0637454	-40.06366656
144.0635907	-40.06351182
144.0634553	-40.06344412
144.0634	-40.06333062
144.0629621	-40.06321201
144.0626333	-40.06315399
144.0624011	-40.06316366
144.061995	-40.06317333
144.0617338	-40.06323136
144.0615114	-40.06330873
144.0613663	-40.06340544
144.0611922	-40.06347314
144.0610182	-40.06365689
144.0607474	-40.06381163
144.0604862	-40.06414045
144.0605733	-40.06446927
144.060728	-40.06470138
144.06082	-40.0649
144.0607989	-40.0652
144.0608731	-40.06550409
144.0610085	-40.06582324
144.0610085	-40.06613272
144.0609021	-40.06640352
144.060699	-40.06650023
144.0603702	-40.06641319
144.0602154	-40.06627779
144.0600704	-40.06612305
144.0599737	-40.06591028
144.0598286	-40.0658039
144.0596835	-40.06569752
144.0596255	-40.0656008
144.0595288	-40.06553311
144.0592	-40.06525264
144.0593644	-40.06539771
144.0590742	-40.06519461
144.0590162	-40.06517527
144.0588228	-40.06517527
144.0586	-40.06515241
144.0583	-40.0651681
144.058	-40.06514979
144.0577	-40.06509416
144.0574	-40.06509117
144.0571	-40.06510909
144.0567628	-40.06519461
144.056521	-40.06521396
144.0563083	-40.06528165
144.0560858	-40.06534935
144.0558634	-40.06539771
144.0556	-40.0654361
144.0553702	-40.06550409
144.0551961	-40.06556212
144.0549736	-40.06561048
144.0545965	-40.06568785
144.0544	-40.06572515
144.0540839	-40.06581357
144.0538518	-40.06583291
144.0536584	-40.06591028
144.0533779	-40.06598765
144.0532	-40.06606647
144.0530394	-40.06610371
144.052817	-40.06619075
144.0526	-40.06638839
144.0523818	-40.06645187
144.0521787	-40.06653891
144.0519852	-40.06660661
144.0517918	-40.06670332
144.051579	-40.06682905
144.0514	-40.06688068
144.0511825	-40.06693543
144.0509891	-40.06706116
144.0507763	-40.06717721
144.0505539	-40.06723524
144.0503992	-40.06735129
144.0502	-40.06750844
144.0498769	-40.06756406
144.0496255	-40.0676511
144.0494224	-40.06780584
144.0493643	-40.06790255
144.0492483	-40.0679896
144.0490452	-40.06815401
144.0488808	-40.06832809
144.048726	-40.06841513
144.0485036	-40.06860855
144.0483392	-40.06875362
144.0482231	-40.06895672
144.047962	-40.06918883
144.0478073	-40.06940159
